record_date,tot_pub_debt_out_amt,record_fiscal_year,record_calendar_year,record_calendar_day
2022-09-01,30879363523856.88,2022,2022,01
2022-08-31,30936075214882.41,2022,2022,31
2022-08-30,30879099520384.98,2022,2022,30
2022-08-29,30852152360376.09,2022,2022,29
2022-08-26,30846992848094.66,2022,2022,26
2022-08-25,30824380608762.88,2022,2022,25
2022-08-24,30751828350400.15,2022,2022,24
2022-08-23,30777437633186.65,2022,2022,23
2022-08-22,30740292605227.85,2022,2022,22
2022-08-19,30731391952366.35,2022,2022,19
2022-08-18,30729913543818.69,2022,2022,18
2022-08-17,30724398554149.91,2022,2022,17
2022-08-16,30736589309063.51,2022,2022,16
2022-08-15,30695428647128.38,2022,2022,15
2022-08-12,30661900621199.98,2022,2022,12
2022-08-11,30660257804900.73,2022,2022,11
2022-08-10,30656481655127.17,2022,2022,10
2022-08-09,30651901663997.97,2022,2022,09
2022-08-08,30600925494647.66,2022,2022,08
2022-08-05,30589280234859.34,2022,2022,05
2022-08-04,30588576389112.46,2022,2022,04
2022-08-03,30581257828120.79,2022,2022,03
2022-08-02,30595969570769.77,2022,2022,02
2022-08-01,30536410540554.18,2022,2022,01
2022-07-29,30595108567190.06,2022,2022,29
2022-07-28,30580925386856.72,2022,2022,28
2022-07-27,30581630650266.54,2022,2022,27
2022-07-26,30598262922849.72,2022,2022,26
2022-07-25,30543559825181.40,2022,2022,25
2022-07-22,30529873257653.04,2022,2022,22
